,Buyer,Average Purchase Price
336,9152 1377 Qc Inc Auto Selections Re,100.8075
337,9153-9171 Quebec Inc - Auto Depot Mirabel,83.45166666666665
338,9154-2829 Qc Inc - Automobile Patrick April,73.57
339,9157 8500 Quebec Inc,99.22
340,9158-5208 Qc Inc,67.6509090909091
341,9167 0802 Quebec Inc,92.58
342,9167 6320 Quebec Inc,119.64222222222222
343,9169 2806 Quebec Inc,51.375
344,9171 1507 Quebec Inc,159.57500000000002
345,9171-1507 Quebec Inc - Auto Ryvan,82.62266666666666
346,9174 3161 Quebec Inc,92.41181818181816
347,9174-1108 Quebec Inc - Automobiles Rh,78.31181818181818
348,9182-4805 Quebec Inc,114.832
349,9189769 Canada Inc,86.965
350,9191-5504 Quebec Inc - Ksa Auto,108.37666666666668
351,9192-6998 Quebec Inc,65.14681818181818
352,9194-3282 Quebec Inc,74.0325
353,919626 Ontario Inc - Brown Auto Sales,-44.085
354,9200 0660 Quebec Inc,171.51
355,9201 3143 Quebec Inc,256.55
356,9201-3143 Quebec Inc - Auto Grand Montreal,58.83788461538461
357,9207 5787 Quebec Inc,89.92125
358,9207-6017 Quebec Inc - Auto Focus Int,108.525
359,9209-5462 Qc Inc,91.42893842887472
360,9211-0345 Quebec Inc,80.48390243902439
361,9212 7026 Quebec Inc,124.39
362,9214666 Canada Inc - Lauto Sur Route,96.17
363,9215-1208 Quebec Inc,95.76
364,9219 6484 Quebec Inc,85.5208695652174
365,9221-4790 Quebec Inc,98.61666666666667
366,9223 0622 Quebec Inc,147.41
367,9223-0622 Quebec Inc,62.93714285714286
368,9226-5479 Quebec Inc - Auto Debz,96.92857142857144
369,9248-4112 Qc Inc,77.33
370,9253-8321 Qc Inc - Auto Doccasion Joliette,65.62
371,9259-8457 Québec Inc Dba Autos Et Freres,82.91714285714285
372,9263969 Canada Corp - Matrix Auto Sales,127.2375
373,9265 4508 Quebec Inc,92.04333333333334
374,9268-9413 Quebec Inc,96.00238532110092
375,9269649 Canada Inc,500.0
376,9269649 Canada Inc - Auto Zoom 1,112.99
377,9271-7453 Quebec Inc - Vente Dautos Fred,57.68
378,9277-2771 Quebec Inc - K And K,123.495
379,9281-5406 Qc Inc,127.398
380,9289-4278 Quebec Inc,134.802
381,9289-9574 Qc Inc,102.3681218274112
382,9290-5447 Quebec Inc,-100.0
383,9293 7929 Quebec Inc,147.99114285714288
384,9295 8271 Quebec Inc,97.40666666666668
385,9300-0032 Quebec Inc - Simons Auto Groupe,94.88315789473684
386,9310-3331 Quebec Inc - Nani Auto,108.53202898550724
387,9312-6613 Quebec Inc,96.3088034188034
388,9315 7634 Quebec Inc,104.82183333333332
389,9315-1272 Quebec Inc,60.50333333333333
390,9315-9150 Quebec Inc - Belle France,83.70892307692307
391,9317 3029 Quebec Inc,94.785
392,9317-3029 Quebec Inc - Autoteck Automotive Broker,85.53625
393,9320-2125 Quebec Inc - Webham,89.72428571428573
394,9322 5381 Quebec Inc,108.62
395,9323244 Canada Limited,119.555
396,9324-9068 Quebec Inc Autos Rr,104.77570247933885
397,9325-5438 Quebec Inc,153.03400000000002
398,9330-8823 Quebec Inc,97.59666666666664
399,9331-8384 Quebec Inc - Okaze,99.8042105263158
400,9337-6473 Quebec Inc,175.55999999999997
401,9338-7058 Qc Inc - Autos Rightway,96.52571428571429
402,9338-7058 Qc Inc Autos Rightway,101.57984615384616
403,9340-4549 Quebec Inc Gmb Auto,160.684
404,9343 6673 Quebec Inc,83.06545454545454
405,9343-4108 Quebec Inc,122.11
406,93436673 Qc Inc Oa Auto Ram,78.59290322580647
407,9344-0196 Quebec Inc- Auto Cd,63.3725
408,9345-7695 Qc Inc Autos Deal,116.13227848101263
409,9345-7695 Quebec Inc - Autos Deal,87.6246153846154
410,9347828 Canada Inc - Car City,92.2479365079365
411,9348-4046 Quebec Inc,108.19
412,9350-8406 Quebec Inc,104.10410256410256
413,9353-1002 Quebec Inc,87.99714285714285
414,9354 6208 Quebec Inc - Sc Auto,78.6557142857143
415,9354-6208 Quebec Inc - Sc Auto,86.25375
416,9356-2387 Qc Inc - Triple M Dealer,84.78999999999999
417,9356-7618 Quebec Inc,112.145
418,9358-0116 Quebec Inc,90.63
419,9359-5098 Quebec Inc - Auto Rimacha,55.27
420,9361 4055 Quebec Inc,85.59
421,9361 5482 Qc Inc Paarth Auto,75.97218749999999
422,9361-4055 Quebec Inc - Automobiles Dominic Gregoire,140.45533333333333
423,9364-1041 Quebec Inc,62.79659090909092
424,9374-4191 Qc Inc - Auto Publique Mirabel,189.15666666666667
425,9375-1956 Quebec Inc,99.5125
426,9375-4216 Quebec Inc - Auto Ram,74.11166666666668
427,9382-8523 Quebec Incautomobiles 15 Nord,100.845
428,9386-4452 Quebec Inc - Car Sales Montreal,134.87958333333333
429,9388-7768 Quebec Inc,96.50511363636365
430,9391-2384 Quebec Inc,94.26255102040818
431,9391-9686 Quebec Inc - Occasion Ville De Sept-Iles,106.935
432,9393-3604 Quebec Inc - Jcd Auto,124.915
433,9397 6314 Quebec Inc,163.82
434,9398-8962 Quebec Inc,82.91499999999999
435,9399-2675 Qc Inc,24.705
436,9399-6775 Quebec Inc Jp Moteurs,65.63756756756757
437,9401-4545 Quebec Inc - Bano Auto,113.8235802469136
438,9402-4437 Quebec Inc,91.444
439,9402-9410 Quebec Inc - Auto La Reine,146.92000000000002
440,9403-5656 Quebec Inc,45.99307692307693
441,9403-6233 Quebec Inc - Auto Mea,62.57
442,9404-2405 Quebec Inc,158.36
443,9404-3676 Quebec Inc,118.9050847457627
444,9405-9987 Qc Inc-Baba Auto,105.7136
445,9406-6891 Quebec Inc,104.3139423076923
446,9406-7899 Quebec Inc,15.70750000000001
447,9407-8631 Qc Inc - Auto Awad,57.26777777777779
448,9408-5602 Quebec Inc - Soniq Auto,82.84008849557523
449,9408-6675 Quebec Inc,63.774375000000006
450,9409-6377 Quebec Inc - Auto Viment,144.99133333333333
451,9409-7540 Quebec Inc - Auto Rapide,74.51
452,9413-2891 Quebec Inc,2.515000000000001
453,9413-9938 Quebec Inc - Auto Gtr,118.586
454,9414-1702 Quebec Inc,78.62063492063493
455,9414-9374 Quebec Inc,-28.62
456,9415-5843 Quebec Inc,160.25
457,9417-6393 Quebec Inc,-100.0
458,9418-3845 Quebec Inc - Rick Auto Sport,85.0
459,9419-3745 Quebec Inc,86.58857142857143
460,9421-4111 Quebec Inc,71.63
461,9423-8631 Quebec Inc - La Clef Automobile,28.7325
462,9424-1965 Quebec Inc - Hms Auto,97.66036363636364
463,9430-8426 Quebec Inc,116.6511111111111
464,9431-6106 Quebec Inc,103.98333333333332
465,9433-8563 Quebec Inc - Mon Automobile,82.545
466,9436-2522 Quebec Inc,85.5442105263158
467,9437452 Canada Limited,199.4157142857143
468,9439-2206 Quebec Inc,132.4
469,9443-7233 Quebec Inc - Auto Econo Longueuil,154.4008333333333
470,9443-8579 Quebec Inc,112.35
471,9444-5046 Quebec Inc,61.6
472,9446-9988 Quebec Inc,83.60399999999998
473,9448-5489 Quebec Inc,100.11
474,9450-0527 Quebec Inc,96.28
